KLambda W: 1.925 Ebeam: 12
Q2 	 CS
3.45	0.382857
3.46	0.380459
3.47	0.378068
3.48	0.375685
3.49	0.373309
3.5	0.37094
3.51	0.368647
3.52	0.366361
3.53	0.364081
3.54	0.361809
3.55	0.359544
3.56	0.357312
3.57	0.355086
3.58	0.352867
3.59	0.350655
3.6	0.34845
3.61	0.346287
3.62	0.344131
3.63	0.341981
3.64	0.339838
3.65	0.337701
3.66	0.335633
3.67	0.333572
3.68	0.331517
3.69	0.329468
3.7	0.327424
3.71	0.3254
3.72	0.323382
3.73	0.321369
3.74	0.319363
3.75	0.317362
3.76	0.315421
3.77	0.313487
3.78	0.311557
3.79	0.309633
3.8	0.307714
3.81	0.305858
3.82	0.304007
3.83	0.30216
3.84	0.300319
3.85	0.298483
3.86	0.296663
3.87	0.294848
3.88	0.293039
3.89	0.291233
3.9	0.289433
3.91	0.287679
3.92	0.285929
3.93	0.284184
3.94	0.282443
3.95	0.280707
3.96	0.279023
3.97	0.277343
3.98	0.275667
3.99	0.273996
4	0.272329
4.01	0.270705
4.02	0.269085
4.03	0.267469
4.04	0.265858
4.05	0.26425
4.06	0.262682
4.07	0.261118
4.08	0.259558
4.09	0.258001
4.1	0.256449
4.11	0.254922
4.12	0.2534
4.13	0.251881
4.14	0.250365
4.15	0.248854
4.16	0.247387
4.17	0.245923
4.18	0.244463
4.19	0.243006
4.2	0.241553
4.21	0.240136
4.22	0.238722
4.23	0.237312
4.24	0.235905
4.25	0.234502
4.26	0.233125
4.27	0.231752
4.28	0.230382
4.29	0.229015
4.3	0.227651
4.31	0.226328
4.32	0.225008
4.33	0.223691
4.34	0.222377
4.35	0.221066
4.36	0.219782
4.37	0.218501
4.38	0.217223
4.39	0.215948
4.4	0.214676
4.41	0.213446
4.42	0.212218
4.43	0.210993
4.44	0.209771
4.45	0.208552
4.46	0.207356
4.47	0.206164
4.48	0.204974
4.49	0.203786
4.5	0.202601
4.51	0.20143
4.52	0.200261
4.53	0.199095
4.54	0.197932
4.55	0.196771
4.56	0.195663
4.57	0.194557
4.58	0.193454
4.59	0.192353
4.6	0.191254
4.61	0.190187
4.62	0.189123
4.63	0.188061
4.64	0.187001
4.65	0.185943
4.66	0.18489
4.67	0.183839
4.68	0.18279
4.69	0.181744
4.7	0.1807
4.71	0.179687
4.72	0.178676
4.73	0.177668
4.74	0.176661
4.75	0.175657
4.76	0.174684
4.77	0.173713
4.78	0.172743
4.79	0.171776
4.8	0.170811
4.81	0.169857
4.82	0.168905
4.83	0.167954
4.84	0.167006
4.85	0.166059
4.86	0.165137
4.87	0.164216
4.88	0.163296
4.89	0.162379
4.9	0.161463
4.91	0.160577
4.92	0.159692
4.93	0.158809
4.94	0.157928
4.95	0.157048
4.96	0.156198
4.97	0.15535
4.98	0.154503
4.99	0.153658
5	0.152815
5.01	0.151978
5.02	0.151143
5.03	0.150309
5.04	0.149477
5.05	0.148647
5.06	0.147844
5.07	0.147043
5.08	0.146244
5.09	0.145446
5.1	0.144649
5.11	0.143879
5.12	0.143111
5.13	0.142344
5.14	0.141578
5.15	0.140814
5.16	0.140056
5.17	0.1393
5.18	0.138545
5.19	0.137792
5.2	0.13704
5.21	0.136315
5.22	0.135592
5.23	0.13487
5.24	0.134149
5.25	0.133429
5.26	0.13273
5.27	0.132032
5.28	0.131336
5.29	0.13064
5.3	0.129946
5.31	0.129239
5.32	0.128534
5.33	0.12783
5.34	0.127126
5.35	0.126425
5.36	0.125773
5.37	0.125123
5.38	0.124474
5.39	0.123826
5.4	0.123179
5.41	0.122538
5.42	0.121897
5.43	0.121258
5.44	0.12062
5.45	0.119982
5.46	0.119364
5.47	0.118748
5.48	0.118132
5.49	0.117517
5.5	0.116903
5.51	0.116298
5.52	0.115695
5.53	0.115093
5.54	0.114491
5.55	0.113891
5.56	0.113292
5.57	0.112695
5.58	0.112098
5.59	0.111502
5.6	0.110907
5.61	0.11034
5.62	0.109774
5.63	0.109209
5.64	0.108644
5.65	0.10808
5.66	0.107537
5.67	0.106994
5.68	0.106451
5.69	0.10591
5.7	0.105369
5.71	0.104833
5.72	0.104298
5.73	0.103763
5.74	0.10323
5.75	0.102697
5.76	0.102174
5.77	0.101651
5.78	0.101129
5.79	0.100608
5.8	0.100088
5.81	0.0995897
5.82	0.0990917
5.83	0.0985945
5.84	0.0980979
5.85	0.097602
5.86	0.0971078
5.87	0.0966143
5.88	0.0961216
5.89	0.0956295
5.9	0.0951382
5.91	0.0946505
5.92	0.0941634
5.93	0.0936771
5.94	0.0931914
5.95	0.0927064
5.96	0.0922523
5.97	0.0917988
5.98	0.091346
5.99	0.0908938
6	0.0904423
6.01	0.0900057
6.02	0.0895697
6.03	0.0891342
6.04	0.0886994
6.05	0.0882651
6.06	0.0878172
6.07	0.0873699
6.08	0.0869233
6.09	0.0864773
6.1	0.0860319
6.11	0.0856084
6.12	0.0851854
6.13	0.0847631
6.14	0.0843413
6.15	0.0839201
6.16	0.0835191
6.17	0.0831186
6.18	0.0827186
6.19	0.082319
6.2	0.08192
6.21	0.0815088
6.22	0.0810982
6.23	0.080688
6.24	0.0802785
6.25	0.0798694
6.26	0.0795025
6.27	0.079136
6.28	0.0787699
6.29	0.0784043
6.3	0.0780392
6.31	0.0776599
6.32	0.0772812
6.33	0.0769029
6.34	0.0765251
6.35	0.0761478
6.36	0.0757866
6.37	0.0754258
6.38	0.0750655
6.39	0.0747056
6.4	0.0743462
6.41	0.0739883
6.42	0.0736309
6.43	0.0732739
6.44	0.0729173
6.45	0.0725611
6.46	0.0722143
6.47	0.0718679
6.48	0.071522
6.49	0.0711765
6.5	0.0708314
6.51	0.0704867
6.52	0.0701425
6.53	0.0697986
6.54	0.0694552
6.55	0.0691122
6.56	0.0687872
6.57	0.0684625
6.58	0.0681382
6.59	0.0678142
6.6	0.0674907
6.61	0.067171
6.62	0.0668517
6.63	0.0665329
6.64	0.0662144
6.65	0.0658962
6.66	0.0656001
6.67	0.0653042
6.68	0.0650088
6.69	0.0647136
6.7	0.0644188
6.71	0.0641094
6.72	0.0638003
6.73	0.0634917
6.74	0.0631834
6.75	0.0628754
6.76	0.0625827
6.77	0.0622902
6.78	0.061998
6.79	0.0617062
6.8	0.0614147
6.81	0.0611337
6.82	0.060853
6.83	0.0605727
6.84	0.0602927
6.85	0.0600129
6.86	0.0597283
6.87	0.0594439
6.88	0.0591599
6.89	0.0588762
6.9	0.0585928
6.91	0.058332
6.92	0.0580715
6.93	0.0578112
6.94	0.0575513
6.95	0.0572916
6.96	0.0570347
6.97	0.0567782
6.98	0.0565219
6.99	0.0562658
7	0.0560101
7.01	0.0557521
7.02	0.0554943
7.03	0.0552368
7.04	0.0549796
7.05	0.0547226
7.06	0.054475
7.07	0.0542276
7.08	0.0539805
7.09	0.0537336
7.1	0.053487
7.11	0.053242
7.12	0.0529973
7.13	0.0527528
7.14	0.0525086
7.15	0.0522646
7.16	0.0520298
7.17	0.0517953
7.18	0.051561
7.19	0.0513269
7.2	0.051093
7.21	0.0508698
7.22	0.0506469
7.23	0.0504242
7.24	0.0502018
7.25	0.0499796
7.26	0.0497434
7.27	0.0495074
7.28	0.0492717
7.29	0.0490362
7.3	0.048801
7.31	0.0485953
7.32	0.0483898
7.33	0.0481845
7.34	0.0479795
7.35	0.0477746
7.36	0.0475598
7.37	0.0473453
7.38	0.047131
7.39	0.0469169
7.4	0.046703
7.41	0.0464843
7.42	0.0462659
7.43	0.0460476
7.44	0.0458296
7.45	0.0456118
7.46	0.0454198
7.47	0.0452279
7.48	0.0450363
7.49	0.0448448
7.5	0.0446536
7.51	0.0444568
7.52	0.0442601
7.53	0.0440637
7.54	0.0438674
7.55	0.0436712
7.56	0.043486
7.57	0.0433009
7.58	0.043116
7.59	0.0429313
7.6	0.0427467
7.61	0.0425575
7.62	0.0423684
7.63	0.0421795
7.64	0.0419908
7.65	0.0418023
7.66	0.0416139
7.67	0.0414257
7.68	0.0412378
7.69	0.0410499
7.7	0.0408623
7.71	0.0406957
