KSigma W: 1.925 Ebeam: 12
Q2 	 CS
3.45	0.14261
3.46	0.141728
3.47	0.140848
3.48	0.139971
3.49	0.139097
3.5	0.138226
3.51	0.137381
3.52	0.136539
3.53	0.1357
3.54	0.134863
3.55	0.134029
3.56	0.133207
3.57	0.132387
3.58	0.13157
3.59	0.130755
3.6	0.129942
3.61	0.129157
3.62	0.128375
3.63	0.127594
3.64	0.126816
3.65	0.12604
3.66	0.125275
3.67	0.124512
3.68	0.123751
3.69	0.122992
3.7	0.122236
3.71	0.121512
3.72	0.120791
3.73	0.120071
3.74	0.119354
3.75	0.118638
3.76	0.117917
3.77	0.117198
3.78	0.116481
3.79	0.115767
3.8	0.115054
3.81	0.114353
3.82	0.113655
3.83	0.112959
3.84	0.112265
3.85	0.111572
3.86	0.11091
3.87	0.110251
3.88	0.109592
3.89	0.108936
3.9	0.108281
3.91	0.107623
3.92	0.106967
3.93	0.106313
3.94	0.10566
3.95	0.105009
3.96	0.104395
3.97	0.103783
3.98	0.103172
3.99	0.102563
4	0.101956
4.01	0.101346
4.02	0.100737
4.03	0.10013
4.04	0.0995244
4.05	0.0989203
4.06	0.0983524
4.07	0.0977858
4.08	0.0972207
4.09	0.0966569
4.1	0.0960946
4.11	0.0955294
4.12	0.0949657
4.13	0.0944033
4.14	0.0938423
4.15	0.0932827
4.16	0.0927325
4.17	0.0921837
4.18	0.0916362
4.19	0.09109
4.2	0.0905451
4.21	0.0900234
4.22	0.0895029
4.23	0.0889836
4.24	0.0884656
4.25	0.0879487
4.26	0.08744
4.27	0.0869324
4.28	0.0864259
4.29	0.0859207
4.3	0.0854165
4.31	0.0849154
4.32	0.0844154
4.33	0.0839166
4.34	0.0834189
4.35	0.0829223
4.36	0.0824496
4.37	0.081978
4.38	0.0815074
4.39	0.0810379
4.4	0.0805694
4.41	0.0801087
4.42	0.0796491
4.43	0.0791904
4.44	0.0787327
4.45	0.0782761
4.46	0.0778411
4.47	0.077407
4.48	0.0769739
4.49	0.0765417
4.5	0.0761104
4.51	0.075682
4.52	0.0752545
4.53	0.0748279
4.54	0.0744022
4.55	0.0739774
4.56	0.0735602
4.57	0.0731437
4.58	0.0727282
4.59	0.0723135
4.6	0.0718997
4.61	0.0714874
4.62	0.071076
4.63	0.0706654
4.64	0.0702557
4.65	0.0698468
4.66	0.0694609
4.67	0.0690758
4.68	0.0686915
4.69	0.068308
4.7	0.0679253
4.71	0.0675447
4.72	0.067165
4.73	0.0667859
4.74	0.0664077
4.75	0.0660302
4.76	0.0656585
4.77	0.0652875
4.78	0.0649172
4.79	0.0645477
4.8	0.0641789
4.81	0.0638391
4.82	0.0635
4.83	0.0631616
4.84	0.0628238
4.85	0.0624866
4.86	0.0621459
4.87	0.0618059
4.88	0.0614666
4.89	0.0611279
4.9	0.0607899
4.91	0.0604566
4.92	0.060124
4.93	0.0597919
4.94	0.0594605
4.95	0.0591297
4.96	0.0588018
4.97	0.0584744
4.98	0.0581477
4.99	0.0578215
5	0.057496
5.01	0.0571927
5.02	0.05689
5.03	0.0565879
5.04	0.0562864
5.05	0.0559854
5.06	0.0556826
5.07	0.0553804
5.08	0.0550788
5.09	0.0547777
5.1	0.0544771
5.11	0.0541855
5.12	0.0538945
5.13	0.0536039
5.14	0.0533139
5.15	0.0530244
5.16	0.0527362
5.17	0.0524485
5.18	0.0521613
5.19	0.0518746
5.2	0.0515884
5.21	0.0513201
5.22	0.0510523
5.23	0.050785
5.24	0.0505181
5.25	0.0502517
5.26	0.0499897
5.27	0.0497282
5.28	0.0494671
5.29	0.0492065
5.3	0.0489463
5.31	0.0486918
5.32	0.0484377
5.33	0.048184
5.34	0.0479308
5.35	0.047678
5.36	0.0474264
5.37	0.0471752
5.38	0.0469245
5.39	0.0466742
5.4	0.0464242
5.41	0.0461918
5.42	0.0459596
5.43	0.0457279
5.44	0.0454964
5.45	0.0452654
5.46	0.0450212
5.47	0.0447774
5.48	0.044534
5.49	0.0442911
5.5	0.0440485
5.51	0.0438206
5.52	0.043593
5.53	0.0433658
5.54	0.0431389
5.55	0.0429123
5.56	0.0426946
5.57	0.0424771
5.58	0.04226
5.59	0.0420433
5.6	0.0418269
5.61	0.0416117
5.62	0.0413968
5.63	0.0411822
5.64	0.040968
5.65	0.0407541
5.66	0.0405433
5.67	0.0403327
5.68	0.0401225
5.69	0.0399126
5.7	0.0397031
5.71	0.0395084
5.72	0.039314
5.73	0.0391199
5.74	0.0389261
5.75	0.0387325
5.76	0.038542
5.77	0.0383517
5.78	0.0381617
5.79	0.037972
5.8	0.0377826
5.81	0.037583
5.82	0.0373837
5.83	0.0371847
5.84	0.036986
5.85	0.0367876
5.86	0.0366009
5.87	0.0364144
5.88	0.0362282
5.89	0.0360422
5.9	0.0358565
5.91	0.0356936
5.92	0.0355309
5.93	0.0353685
5.94	0.0352062
5.95	0.0350442
5.96	0.0348684
5.97	0.034693
5.98	0.0345178
5.99	0.0343428
6	0.0341681
6.01	0.0339908
6.02	0.0338136
6.03	0.0336368
6.04	0.0334601
6.05	0.0332837
6.06	0.0331271
6.07	0.0329707
6.08	0.0328146
6.09	0.0326586
6.1	0.0325029
6.11	0.0323538
6.12	0.032205
6.13	0.0320564
6.14	0.031908
6.15	0.0317597
6.16	0.0315888
6.17	0.0314181
6.18	0.0312476
6.19	0.0310773
6.2	0.0309073
6.21	0.0307603
6.22	0.0306136
6.23	0.030467
6.24	0.0303206
6.25	0.0301744
6.26	0.0300284
6.27	0.0298826
6.28	0.0297369
6.29	0.0295914
6.3	0.0294462
6.31	0.0293173
6.32	0.0291885
6.33	0.0290599
6.34	0.0289314
6.35	0.028803
6.36	0.028662
6.37	0.028521
6.38	0.0283803
6.39	0.0282398
6.4	0.0280995
6.41	0.0279572
6.42	0.027815
6.43	0.0276731
6.44	0.0275313
6.45	0.0273897
6.46	0.0272664
6.47	0.0271432
6.48	0.0270202
6.49	0.0268973
6.5	0.0267746
6.51	0.0266373
6.52	0.0265001
6.53	0.0263632
6.54	0.0262264
6.55	0.0260898
6.56	0.0259733
6.57	0.0258569
6.58	0.0257406
6.59	0.0256245
6.6	0.0255085
6.61	0.0253886
6.62	0.0252687
6.63	0.0251491
6.64	0.0250295
6.65	0.0249101
6.66	0.0247961
6.67	0.0246821
6.68	0.0245683
6.69	0.0244547
6.7	0.0243411
6.71	0.0242277
6.72	0.0241144
6.73	0.0240012
6.74	0.0238882
6.75	0.0237753
6.76	0.023666
6.77	0.0235568
6.78	0.0234478
6.79	0.0233389
6.8	0.0232302
6.81	0.023118
6.82	0.023006
6.83	0.0228941
6.84	0.0227823
6.85	0.0226706
6.86	0.0225791
6.87	0.0224877
6.88	0.0223964
6.89	0.0223053
6.9	0.0222142
6.91	0.0221068
6.92	0.0219995
6.93	0.0218924
6.94	0.0217854
6.95	0.0216786
6.96	0.0215833
6.97	0.0214881
6.98	0.0213929
6.99	0.0212979
7	0.0212029
7.01	0.0210979
7.02	0.020993
7.03	0.0208883
7.04	0.0207837
7.05	0.0206792
7.06	0.0205948
7.07	0.0205105
7.08	0.0204263
7.09	0.0203422
7.1	0.0202581
7.11	0.0201543
7.12	0.0200506
7.13	0.019947
7.14	0.0198435
7.15	0.0197402
7.16	0.0196555
7.17	0.0195708
7.18	0.0194862
7.19	0.0194017
7.2	0.0193173
7.21	0.0192293
7.22	0.0191415
7.23	0.0190537
7.24	0.0189659
7.25	0.0188783
7.26	0.0187957
7.27	0.0187131
7.28	0.0186306
7.29	0.0185482
7.3	0.0184659
7.31	0.0183876
7.32	0.0183094
7.33	0.0182313
7.34	0.0181533
7.35	0.0180753
7.36	0.0179935
7.37	0.0179117
7.38	0.01783
7.39	0.0177484
7.4	0.0176668
7.41	0.0175867
7.42	0.0175067
7.43	0.0174267
7.44	0.0173468
7.45	0.017267
7.46	0.0171899
7.47	0.017113
7.48	0.0170362
7.49	0.0169594
7.5	0.0168828
7.51	0.0168163
7.52	0.0167499
7.53	0.0166836
7.54	0.0166173
7.55	0.016551
7.56	0.0164761
7.57	0.0164013
7.58	0.0163266
7.59	0.016252
7.6	0.0161775
7.61	0.0161016
7.62	0.0160259
7.63	0.0159502
7.64	0.0158746
7.65	0.0157991
7.66	0.0157349
7.67	0.0156707
7.68	0.0156066
7.69	0.0155425
7.7	0.0154784
7.71	0.0154079
7.72	0.0153375
7.73	0.0152672
7.74	0.0151969
7.75	0.0151267
7.76	0.0150674
7.77	0.015008
7.78	0.0149488
7.79	0.0148896
7.8	0.0148304
7.81	0.0147759
7.82	0.0147215
7.83	0.0146671
7.84	0.0146128
7.85	0.0145584
7.86	0.0144843
7.87	0.0144102
7.88	0.0143362
7.89	0.0142623
7.9	0.0141884
7.91	0.0141345
7.92	0.0140805
7.93	0.0140267
7.94	0.0139728
7.95	0.013919
7.96	0.0138607
7.97	0.0138024
7.98	0.0137442
7.99	0.013686
8	0.0136279
8.01	0.0135744
8.02	0.0135209
8.03	0.0134674
8.04	0.013414
8.05	0.0133606
8.06	0.0132938
8.07	0.013227
8.08	0.0131602
8.09	0.0130936
8.1	0.013027
8.11	0.0129694
8.12	0.0129119
8.13	0.0128544
8.14	0.012797
8.15	0.0127396
8.16	0.0126867
8.17	0.0126339
8.18	0.0125811
8.19	0.0125283
8.2	0.0124756
8.21	0.0124229
8.22	0.0123702
8.23	0.0123176
8.24	0.012265
8.25	0.0122124
8.26	0.0121647
8.27	0.0121171
8.28	0.0120695
8.29	0.012022
8.3	0.0119746
8.31	0.0119239
8.32	0.0118733
8.33	0.0118227
8.34	0.0117721
8.35	0.0117216
8.36	0.0116826
8.37	0.0116436
8.38	0.0116046
8.39	0.0115655
8.4	0.0115265
8.41	0.0114795
8.42	0.0114325
8.43	0.0113856
8.44	0.0113387
8.45	0.0112919
8.46	0.0112417
8.47	0.0111916
8.48	0.0111415
8.49	0.0110915
8.5	0.0110415
8.51	0.0109949
8.52	0.0109484
8.53	0.0109019
8.54	0.0108555
8.55	0.0108091
8.56	0.0107577
8.57	0.0107062
8.58	0.0106548
8.59	0.0106034
8.6	0.0105521
8.61	0.0105205
8.62	0.0104889
8.63	0.0104573
8.64	0.0104257
8.65	0.0103942
8.66	0.0103525
8.67	0.0103108
8.68	0.0102692
8.69	0.0102276
8.7	0.0101861
8.71	0.0101494
8.72	0.0101128
8.73	0.0100762
8.74	0.0100396
8.75	0.010003
8.76	0.00995742
8.77	0.00991187
8.78	0.00986636
8.79	0.0098209
8.8	0.00977548
8.81	0.00973068
8.82	0.0096859
8.83	0.00964115
8.84	0.00959641
8.85	0.0095517
8.86	0.00952075
8.87	0.00948983
8.88	0.00945894
8.89	0.00942807
8.9	0.00939722
8.91	0.00935219
8.92	0.00930721
8.93	0.00926227
8.94	0.00921737
8.95	0.00917252
8.96	0.00914597
8.97	0.00911944
8.98	0.00909292
8.99	0.00906642
9	0.00903993
9.01	0.00900938
9.02	0.00897885
9.03	0.00894834
9.04	0.00891786
9.05	0.0088874
9.06	0.00884129
9.07	0.0087952
9.08	0.00874912
9.09	0.00870305
9.1	0.00865699
9.11	0.00862664
9.12	0.00859631
9.13	0.00856601
9.14	0.00853573
9.15	0.00850547
9.16	0.00847924
9.17	0.00845303
9.18	0.00842684
9.19	0.00840065
9.2	0.00837449
9.21	0.00833235
9.22	0.00829027
9.23	0.00824824
9.24	0.00820625
9.25	0.00816431
9.26	0.0081383
9.27	0.00811231
9.28	0.00808633
9.29	0.00806036
9.3	0.0080344
9.31	0.00800648
9.32	0.00797856
9.33	0.00795065
9.34	0.00792274
9.35	0.00789483
9.36	0.00785322
9.37	0.00781164
9.38	0.00777012
9.39	0.00772864
9.4	0.0076872
9.41	0.00766144
9.42	0.00763569
9.43	0.00760996
9.44	0.00758423
9.45	0.00755851
9.46	0.00753281
9.47	0.00750712
9.48	0.00748143
9.49	0.00745576
9.5	0.0074301
9.51	0.00740445
9.52	0.00737881
9.53	0.00735318
9.54	0.00732756
9.55	0.00730195
9.56	0.0072725
9.57	0.00724308
9.58	0.00721367
9.59	0.00718429
9.6	0.00715492
9.61	0.00712939
9.62	0.00710387
9.63	0.00707836
9.64	0.00705286
9.65	0.00702737
9.66	0.00700189
9.67	0.00697641
9.68	0.00695095
9.69	0.0069255
9.7	0.00690005
9.71	0.00687462
9.72	0.00684919
9.73	0.00682377
9.74	0.00679836
9.75	0.00677296
9.76	0.00675401
9.77	0.00673509
9.78	0.0067162
9.79	0.00669734
9.8	0.00667851
9.81	0.00665539
9.82	0.00663227
9.83	0.00660918
9.84	0.0065861
9.85	0.00656304
9.86	0.0065378
9.87	0.00651258
9.88	0.00648736
9.89	0.00646216
9.9	0.00643695
9.91	0.00641176
9.92	0.00638658
9.93	0.0063614
9.94	0.00633623
9.95	0.00631106
9.96	0.00628591
9.97	0.00626076
9.98	0.00623562
9.99	0.00621048
10	0.00618535
10.01	0.00616696
10.02	0.0061486
